IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
44.243.83.13,443,443,true,PDX,North America,US,Portland,215,10.62
16.171.175.204,443,443,true,CPH,Europe,DK,Copenhagen,229,10.61
18.134.9.176,443,443,true,LHR,Europe,GB,London,297,10.61
34.209.237.6,443,443,true,PDX,North America,US,Portland,335,10.61
18.175.54.221,443,443,true,LHR,Europe,GB,London,331,10.61
34.216.207.73,443,443,true,PDX,North America,US,Portland,208,10.61
54.171.181.214,8080,443,true,DUB,Europe,IE,Dublin,310,10.61
67.226.223.148,443,443,true,LHR,Europe,GB,London,339,10.61
51.20.18.103,443,443,true,CPH,Europe,DK,Copenhagen,365,10.61
35.90.79.43,443,443,true,PDX,North America,US,Portland,209,10.60
52.32.210.106,443,443,true,PDX,North America,US,Portland,240,10.60
44.224.24.91,443,443,true,SEA,North America,US,Seattle,214,10.60
34.217.61.124,443,443,true,PDX,North America,US,Portland,225,10.60
51.20.184.1,2096,443,true,ARN,Europe,SE,Stockholm,227,10.60
67.226.223.140,80,443,true,LHR,Europe,GB,London,178,10.60
34.208.250.126,443,443,true,PDX,North America,US,Portland,254,10.60
34.219.204.56,443,443,true,PDX,North America,US,Portland,265,10.60
35.165.57.245,443,443,true,PDX,North America,US,Portland,224,10.59
34.220.67.91,443,443,true,PDX,North America,US,Portland,269,10.59
18.169.104.112,443,443,true,LHR,Europe,GB,London,288,10.59
3.67.201.131,443,443,true,FRA,Europe,DE,Frankfurt,204,10.59
51.20.10.240,8443,443,true,ARN,Europe,SE,Stockholm,271,10.59
34.209.237.6,443,443,true,PDX,North America,US,Portland,239,10.59
18.236.152.142,443,443,true,SEA,North America,US,Seattle,226,10.58
51.20.9.142,443,443,true,CPH,Europe,DK,Copenhagen,368,10.58
54.185.204.231,443,443,true,PDX,North America,US,Portland,313,10.58
54.71.193.200,443,443,true,PDX,North America,US,Portland,379,10.57
35.92.54.52,443,443,true,PDX,North America,US,Portland,306,10.57
35.89.154.162,443,443,true,PDX,North America,US,Portland,234,10.57
35.89.26.166,443,443,true,PDX,North America,US,Portland,237,10.57
34.221.86.169,443,443,true,PDX,North America,US,Portland,275,10.56
51.20.32.19,443,443,true,CPH,Europe,DK,Copenhagen,229,10.56
34.220.79.96,443,443,true,PDX,North America,US,Portland,350,10.56
54.245.133.81,443,443,true,PDX,North America,US,Portland,231,10.56
3.9.9.137,2053,443,true,LHR,Europe,GB,London,260,10.56
18.169.105.194,443,443,true,LHR,Europe,GB,London,308,10.56
3.78.254.4,443,443,true,FRA,Europe,DE,Frankfurt,247,10.56
51.20.10.240,2087,443,true,ARN,Europe,SE,Stockholm,214,10.56
34.217.112.69,443,443,true,PDX,North America,US,Portland,298,10.56
35.180.37.104,443,443,true,CDG,Europe,FR,Paris,219,10.56
34.215.201.235,443,443,true,PDX,North America,US,Portland,323,10.56
18.175.58.249,443,443,true,LHR,Europe,GB,London,368,10.56
18.175.185.100,443,443,true,LHR,Europe,GB,London,398,10.56
52.27.119.140,443,443,true,PDX,North America,US,Portland,233,10.55
54.213.215.13,2053,443,true,PDX,North America,US,Portland,311,10.55
35.95.69.243,443,443,true,PDX,North America,US,Portland,297,10.55
18.169.193.25,443,443,true,LHR,Europe,GB,London,292,10.55
3.11.70.69,443,443,true,LHR,Europe,GB,London,328,10.55
54.213.215.13,8443,443,true,PDX,North America,US,Portland,272,10.55
44.244.200.53,443,443,true,PDX,North America,US,Portland,355,10.55
18.171.188.15,443,443,true,LHR,Europe,GB,London,341,10.55
18.184.155.133,443,443,true,FRA,Europe,DE,Frankfurt,210,10.54
51.20.132.68,8443,443,true,ARN,Europe,SE,Stockholm,238,10.54
35.161.88.46,443,443,true,PDX,North America,US,Portland,245,10.54
44.244.100.82,443,443,true,PDX,North America,US,Portland,304,10.54
67.226.223.104,80,443,true,LHR,Europe,GB,London,335,10.54
54.212.228.204,8443,443,true,PDX,North America,US,Portland,340,10.54
