IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
34.69.150.180,443,443,true,ORD,North America,US,Chicago,365,8.57
34.69.150.180,443,443,true,ORD,North America,US,Chicago,390,8.55
34.89.91.99,443,443,true,LHR,Europe,GB,London,345,8.33
35.204.231.100,443,443,true,AMS,Europe,NL,Amsterdam,391,8.24
34.105.189.25,443,443,true,LHR,Europe,GB,London,280,8.19
35.200.238.235,443,443,true,BOM,Asia Pacific,IN,Mumbai,153,7.94
34.175.202.195,443,443,true,MAD,Europe,ES,Madrid,465,6.55
35.228.36.82,443,443,true,ARN,Europe,SE,Stockholm,417,6.24
34.105.130.188,443,443,true,LHR,Europe,GB,London,263,5.38
34.105.130.188,443,443,true,LHR,Europe,GB,London,323,5.35
34.89.30.78,443,443,true,LHR,Europe,GB,London,375,5.33
34.105.140.105,443,443,true,LHR,Europe,GB,London,443,4.85
34.66.72.229,443,443,true,ORD,North America,US,Chicago,328,1.10
35.200.238.235,443,443,true,BOM,Asia Pacific,IN,Mumbai,455,0.86
35.187.229.127,80,8080,false,SIN,Asia Pacific,SG,Singapore,2,0.00
34.92.85.233,2052,2052,false,HKG,Asia Pacific,HK,Hong Kong,37,0.00
34.93.79.152,80,80,false,BOM,Asia Pacific,IN,Mumbai,73,0.00
35.201.107.185,80,80,false,SIN,Asia Pacific,SG,Singapore,81,0.00
34.93.226.165,80,80,false,BOM,Asia Pacific,IN,Mumbai,82,0.00
34.93.226.165,80,80,false,BOM,Asia Pacific,IN,Mumbai,85,0.00
34.92.85.233,2052,2052,false,HKG,Asia Pacific,HK,Hong Kong,92,0.00
34.111.103.7,80,80,false,SIN,Asia Pacific,SG,Singapore,97,0.00
34.111.135.19,80,80,false,SIN,Asia Pacific,SG,Singapore,105,0.00
35.200.202.118,80,80,false,BOM,Asia Pacific,IN,Mumbai,109,0.00
34.93.79.152,80,80,false,BOM,Asia Pacific,IN,Mumbai,111,0.00
34.93.79.152,80,80,false,BOM,Asia Pacific,IN,Mumbai,118,0.00
34.92.85.233,2052,2052,false,HKG,Asia Pacific,HK,Hong Kong,122,0.00
34.49.1.210,80,80,false,SIN,Asia Pacific,SG,Singapore,125,0.00
34.93.226.165,80,80,false,BOM,Asia Pacific,IN,Mumbai,125,0.00
34.120.230.33,80,80,false,SIN,Asia Pacific,SG,Singapore,130,0.00
35.201.107.185,80,80,false,SIN,Asia Pacific,SG,Singapore,137,0.00
34.160.118.77,80,80,false,SIN,Asia Pacific,SG,Singapore,152,0.00
